,ID,年齢,性別,都道府県,年収(下限),年収(上限),学歴,大学,学部,卒業,英語,DS経験年数,コアスキル
0,BU0213849,54,男性,神奈川県,600,750,大学院卒（博士）,九州大学,博士（工学） システム情報科学府情報知能工学専攻,2007年4月,ビジネス会話レベル,0,"オンライン文字認識、オフライン文字認識（画像文字認識）、帳票認識、文書画像解析、自然言語処理、テキストマイニング、画像処理、などに関する研究；電子回路設計と製作技術者；大学教師.#カメラ画像処理(AWB,AE,ヂュアルカメラ関連)#日本語、英語、中国語の三ヶ国語でコミュニケーション能力を持つ.#大学学部生クラスの担当；研究グループリーダー."
1,BU0525220,60,男性,東京都,1250,1500,大学院卒（修士）,早稲田大学,理工学部 電気工学専攻,1988年3月,ビジネス会話レベル,8,非常に高い英語コミュニケーション能力（TOEIC945点）、米国勤務経験有り#クラウドテクノロジー（AWS、Azure）に関する知識#機械学習、人工知能、統計処理（Python、R）の実務経験および知識#BI（Tableau、Power BI）#Python Django フレームワークによるWebアプリ構築経験#JavaScriptによるフロントエンドからLAMP環境のバックエンドまで一貫して開発する能力（ECサイト、SNSサイト）#iPhone、Androidネイティブアプリの開発能力（GISTにコードを公開し、書籍を執筆販売するレベル）#サーバー、ストレージ、ネットワーク、半導体に関する、製品開発経験に基づいた豊富な技術知識#技術者、マーケッター、経営者としての豊富な経験と知識#事業企画・事業戦略立案およびその遂行経験、リーダーシップ能力#マーケティング部門トップ、技術部門トップとして、多数の大型プロジェクトに参画#マーケティングチームやエンジニアチームをゼロから構築（採用、育成、管理）する高いマネジメント能力および実行力#Python、R、SQL、PHP(CakePHP)、Ruby on Rails、.NET MVC5、C#、Angular JS、jQuery、Bootstrap、HTML5、CSS3、LESS、Sass
2,BU0307634,48,男性,神奈川県,1250,1500,大学院卒（修士）,中央大学,経済学研究科 ,2005年3月,基礎会話レベル,0,SAS#統計解析、機械学習#コンサルティング#ビッグデータ分野の分析経験
3,BU1105573,63,女性,東京都,1000,1250,大学卒,中央大学,物理 ,1984年3月,日常会話レベル,5,機械学習などを利用した市場予測#ビッグデータの解析とデータドリブンのモデル提案#パーソナルデータの匿名化研究#データサイエンス#行動ターゲティング#SNSデータ解析による市場調査#業務解析とビジネスモデルの提案、業務改善コンサル#ビッグデータ解析から見た視聴率動向調査#システムコンサルタント#センサーデータの解析基盤から運用まで#モバイルサービスの大規模システムサーバ運用技術・実績あり#ビッグデータの匿名化技術開発用サーバ開発・運用（学術系）#サイバーセキュリティ研究#高セキュリティ化での連合学習施策
4,BU3462327,48,男性,東京都,750,1000,大学院卒（修士）,東京大学,人文社会系研究科 ,,ビジネス会話レベル,1,"データ分析#数理統計#ビジネス英語#Python, SPSS, Access, Excel#統計ソフトR#SQLプログラミング#プロジェクトマネージメント#ビジネスコンサルタント#業務改善#フランス語#データサイエンス#機械学習#ディープラーニング#Azure#マーケティング#DX"
5,BU1163813,51,男性,埼玉県,750,1000,大学院卒（修士）,早稲田大学院,人間科学研究科 ,1997年3月,なし,0,BIツール（tableau、MotionBoard、PowerBI）#Linux環境でのクローラ開発、運用(Linux/Ubuntu、Ruby、Python、MongoDB)#データプレパレーション、加工システム開発（Python(Nampy、Pandas)、TableauPrep、ExcelVBA、Access）#データドリブン#データマイニング#戦略立案、評価#経営管理#販売管理#社員教育（データ分析・活用・加工・分析スキル向上）#機械学習
6,BU0414865,49,男性,東京都,1000,1250,大学院卒（修士）,大阪大学,大学院 ,1998年3月,ビジネス会話レベル,0,小売、物流、広告、TV、ソーシャル、ロボット、ゲーム、を含む多様な分野におけるデータ分析経験/能力#統計的機械学習ベースの自然言語処理技術/テキストマイニングの知識/業務経験#数十億件規模のユーザログを効率的に分析するためのデータベース構築/運用経験#ビッグデータの自動収集（クロール）から基盤整備、解析、活用までの一気通貫型の開発/運用経験#独自開発したソーシャルデータマイニングツールの自社グループ内導入経験（約20部署）#AWS ベースのレコメンデーションサービスの開発運用リーディング経験#ロボット開発/事業化（人工知能、画像認識、運動制御などの技術開発から事業化まで）経験
7,BU2719215,62,男性,東京都,750,1000,大学卒,九州大学,理学部化学科 ,1983年3月,なし,20,データサイエンス#DNN#python / scikit-learn
8,BU1357390,45,男性,東京都,750,1000,大学院卒（修士）,奈良先端科学技術大学院大学,情報科学研究科 ,2002年3月,基礎会話レベル,0,BinPacking#最適経路探索#Google Optimization Tools#SVG#drone#RTKLIB#px4#postgis#opencv#image processing#solr#rails#hadoop#emr#symphony2#cdn#mysql#ruby#python#c/c++#ROS#javascript#matlab#recommend#variational bayes#hive#pig#docker#VBA#Vue.js
9,B00000001,46,男性,東京都,1000,1250,大学院卒（MBA）,EMLYON,Business ,2013年3月,ビジネス会話レベル,0,事業開発スキル#コンサルティングスキル#プロジェクトマネジメントスキル#マーケティング・営業スキル#サステナビリティ知識#システム企画スキル#経営管理スキル#業界知識
10,BU1990950,62,男性,神奈川県,1000,1250,大学院卒（修士）,茨城大学大学院,工学研究科 ,1986年3月,ビジネス会話レベル,0,データサイエンティスト）データ分析から、分析結果に基づいた新たな施策を立案し、経営課題を解決するソリューションを提案できる(経験10年)。#マテリアルズインフォマティックスMI）有機材料などデータベース化が困難な情報を操作し材料開発の提案ができる。#DX技術）研究開発から生産現場に至るまでのBig Dataを活用するグランドデザインを作成できる。#スマートファクトリー）スマートファクトリー構築のためのデータベース構築から運用までの要件定義書を短期で作成し、実践することができる。#電子デバイス生産技術）リチウムイオンバッテリ、電解コンデンサのプロセス経験から実践的提案ができる。#半導体生産技術）CMOSイメージセンサを初め、前工程のプロセスを熟知し最適化できる。#IoT導入）半導体、リチウムイオンバッテリ工場において情報をデータベース化し活用できる。#人材育成）設計・生産現場において科学的データ解析を行う人員を育成できる。#産学協業）データ解析の有力教授との協力関係から、業界動向にアンテナを張り最先端技術を情報収集できる。
11,BU1271642,46,男性,東京都,1000,1250,大学院卒（修士）,東京大学,理学系研究科 ,2002年3月,基礎会話レベル,0,"AWS (EC2, Redshift, Elasticsearch等)#Go(1.13)#Java(1,8等)#MySQL(5.6)#Ruby(2.5.5等)#PHP(4,5等)#A.I. 機械学習#GCP#PostgreSQL(11)#Python(3.8)"
12,BU0836662,47,男性,東京都,1500,2000,大学卒,福島大学,経済学部 ,2001年3月,日常会話レベル,15,DX設計・DX推進・スマートシティ概要設計・IRデータアーキテクチャ設計#ビッグデータ分析/統計解析（金融・流通・小売・マーケティング・人事・労務・ゲーム・位置情報）#企業経営・新規事業開発#上場・IPO
13,BU0044734,42,男性,東京都,2000,3000,大学卒,慶應義塾大学,法学部,2004年3月,日常会話レベル,6,経営企画・事業企画・商品企画#データサイエンスを中心に、基盤構築、フロントエンドのフルカバレッジ#プロジェクトマネジメント（システム開発の要件定義を含む）#オープンイノベーションを意図した産学連携#オペレーション改善に積極的に取り組める#マルチタスクを迅速に、正確に回せる#粘り強く業務に取り組める
14,BU3199992,39,女性,アメリカ・カナダ,750,1000,大学院卒（修士）,名古屋大学,生命農学研究科 ,2009年3月,ビジネス会話レベル,0,データサイエンス#データ分析#Python#SQL#ポリマー合成、分析#動物行動学
15,BU3091351,35,男性,愛知県,600,750,大学院卒（博士）,東京農工大学,連合農学研究科 ,2018年3月,ビジネス会話レベル,1,バイオインフォマティクス#研究#応用研究や開発研究#分子生物学#生化学#微生物学#分析化学#次世代シーケンシング
16,BU1122391,47,男性,東京都,1000,1250,大学卒,宮崎産業経営大学,経済 ,1999年3月,なし,6,組込み系ソフト開発に必要な要件定義からプログラミングまでの実務#組込みLinux、μ-TRON、Windows上での、C、C++、VisualC++、VisualBasicなどによる アプリケーション開発#グラフィックAPI OpenGLを利用した3D表現#理工系の大学で習得すべき、論理学、集合論、微分積分、線形代数、 ベクトル解析、フーリエ解析、常微分方程式、統計解析、多変量解析#数値計算処理(上記の内、微分積分、線形代数、フーリエ解析、多変量解析に関して)#一般力学、構造力学（土木工学共通に関して）
17,BU2523303,44,男性,東京都,1000,1250,高専・専門・短大卒,東海大学,短期大学部／電気通信工学科／コンピュータイメージデザイン ,1999年3月,基礎会話レベル,8,データ分析#SQL#BIツール導入開発(Tableau/Looker)#python#R#データマネジメント#コンサルティング
18,BU1565537,39,女性,ヨーロッパ,600,750,大学院卒（博士）,東京大学,理学系研究科天文学専攻 ,2012年5月,ビジネス会話レベル,0,プログラミン：Python、SQL#機械学習モデルのシステム化（AWSクラウド上）#データ分析#トラブルシューティング#アフターサービス
19,BU0793678,43,男性,神奈川県,1250,1500,大学院卒（博士）,東京大学,新領域創成科学研究科自然環境学専攻 ,2015年3月,ビジネス会話レベル,7,ビッグデータアナリティクス#データ分析#機械学習#ディープラーニング#Python#R#Apache Spark#Tableau#ArcGIS#BigQuery#SQL#英語: TOEIC 915，アラビア語 (ネイティブ)，日本語(ビジネスレベル)
20,BU3579946,33,男性,千葉県,500,600,大学院卒（MBA）,筑波大学,システム情報工学研究科 経営政策科学専攻,2014年3月,基礎会話レベル,4,python#データ分析・データマイニング#機械学習によるモデル構築#時系列解析による予測#R#経営管理#統計分析・統計によるモデル構築#NLP#自然言語処理#SQL
