,ID,年齢,性別,都道府県,年収(下限),年収(上限),学歴,大学,学部,卒業,英語,DS経験年数,コアスキル
0,BU0810727,36,男性,東京都,750,1000,大学卒,University,of ,2010年3月,日常会話レベル,8,アナリティクス（モデル構築、マーケティング向けの分析など）#コンサルティングスキル#チームマネジメントスキル
1,BU3031902,28,男性,東京都,750,1000,大学院卒（修士）,東京理科大学,薬学研究科 ,,日常会話レベル,3,R#Oracle#ビックデータ解析#NGSデータ解析#バイオインフォマティクス学会認定技術者#Linux#Unix#Windows#統計解析#SQL#機械学習#製薬#医薬品#python#遺伝子発現解析#バイオマーカー解析#markdown#がん研究#臨床データ#Data Science#パイプライン構築#バイオインフォマティクス#ゲノム医療#ゲノム解析#自動化#スクレイピング#アプリ開発#webアプリ
2,BU2236606,31,女性,愛知県,500,500,大学卒,岐阜大学,応用生物学部 ,,なし,0,データ処理#データ分析#ID-POS分析
3,BU1960241,42,男性,神奈川県,750,1000,大学院卒（修士）,ヘンリービジネススクール,ファイナンス学科 修士課程,2010年6月,ビジネス会話レベル,0,マーケティング領域における統計解析、ビッグデータ分析#マーケティングリサーチ、消費者調査、市場調査、アンケート集計#CRM・POSデータアナリティクス、課題解決支援#データハンドリング（R言語、Tableau、SPSS、MySQLなど）
4,BU1547569,35,男性,大阪府,500,600,大学院卒（修士）,京都大学大学院,薬学研究科薬科学専攻 ,2012年3月,日常会話レベル,0,臨床統計学に関する知識・経験#ディープラーニングをはじめとする機械学習的アプローチ#R，Python を用いたデータ加工と解析
5,BU2799842,31,男性,東京都,750,1000,大学卒,九州大学,理学部物理学科（複雑物性研究室） ,2014年3月,基礎会話レベル,1,C++#Python#SQL#OpenCV#OpenGL#Eigen#Numpy#Pandas#scikit-learn#Git#Github#bash#docker#NLP#TensorFlow#Keras#Eigen#PCL (Point Cloud Library)#GCP (実務経験なし、個人で利用)#DWH設計・構築（実務経験なし、個人）#データマート設計・構築（実務経験なし、個人）#API#MATLAB#JDLA Generalist 2019#3#JavaScript#RDBMS#PostgreSQL#Docker#Docker Compose#Docker Swarm#GitLab#GitLab CI#Open API Specification Ecosystems#Flask#FastAPI#gRPC#Redis#React#Node-RED#Nvidia Jetson
6,BU2037323,29,男性,東京都,1000,1250,大学卒,東京大学,経済学部経済学科 ,2018年9月,ビジネス会話レベル,2,CMS(Wordpress)を使ったBlogでの集客から販売まで#広告運用(Google広告/Yahoo!プロモーション広告)#広告流入用静的LPの企画・制作ディレクション・ABテストの検証設計#複数の広告配信媒体間の予算最適化#SQL(Big Query)を用いた数十万件~数千万件規模のデータ処理#Webサイトの行動ログや会員データを用いた分析(Adobe Analytics/Tableau/Python/R/Excel)#ABテスト・RCTに関する検証設計と分析#LPO（分析・課題抽出・検証設計）#Python/Rによるデータ分析・モデル開発#ABテストツール#ユーザー行動分析#アクセス解析ツール#アナリティクス分析#マーケティングデータ分析#Webデータ分析#オフラインデータ#効果計測#広告効果検証#Google Analytics#ROI分析
7,BU4700622,30,男性,東京都,500,600,大学院卒（修士）,北陸先端科学技術大学院大学,先端科学技術研究科先端科学技術専攻 ,2020年3月,基礎会話レベル,3,KPIモニタリング#ソーシャルゲーム#ゲームアプリプロデュース#ソーシャルゲーム#オンラインゲーム
8,BU3482413,33,男性,東京都,750,1000,大学卒,慶應義塾大学, ,2012年3月,日常会話レベル,7,データ分析#機械学習#統計解析
9,BU2894123,30,男性,東京都,1250,1500,大学卒,一橋大学,商学部 ,2017年3月,基礎会話レベル,6,IPプロデュース#コンテンツディレクション#イベント演出#キャラクターコンテンツ#キャラクター開発#キャラクター制作#データ分析
