,ID,年齢,性別,都道府県,年収(下限),年収(上限),学歴,大学,学部,卒業,英語,DS経験年数,コアスキル
0,BU1630010,31,男性,神奈川県,750,1000,大学院卒（修士）,東京大学大学院,工学系研究科 ,2018年3月,ビジネス会話レベル,1,Web広告運用#Python#データ分析#機械学習#マーケティング戦略の立案・実行
1,BU0772982,35,男性,東京都,750,1000,大学院卒（修士）,シドニー工科大学,データ分析 ,2017年6月,ビジネス会話レベル,0,GCP#データ分析・機械学習#Go / PythonによるAPI・バッチ開発
2,BU0984678,33,男性,東京都,750,1000,大学院卒（修士）,大阪大学,経済学研究科 ,2016年3月,ビジネス会話レベル,4,"Python(Pandas, Sklearn, Spacy, Gensim,flask)#Pytorch#機械学習（回帰分析、ロジスティック分析、K-Means、K-Nearest、決定木、Random-Forest、Xgboost、LightGBM、時系列など)#Tableau#Deep Learning(Pytorch)#自然言語処理（Word2Vec、RNN、Seq2Seq、BERT、Topic Model)#SQL#コンサルティング#Docker"
3,BU3247702,34,男性,東京都,1250,1500,大学院卒（修士）,東京理科大学,理工学研究科経営工学専攻 ,,ビジネス会話レベル,8,データ分析#機械学習#R言語#BI#ファシリテーション#カスタマーサクセス
4,BU3358232,33,男性,愛知県,750,1000,大学院卒（修士）,名古屋工業大学,機能工学専攻 ,,基礎会話レベル,1,機械学習#画像処理#データ解析#数理アルゴリズム#GIS
5,BU1033943,35,男性,東京都,750,1000,大学院卒（修士）,東京工業大学,大学院総合理工学研究科知能システム科学専攻 ,2013年3月,基礎会話レベル,4,Python#データ分析一般#機械学習#統計検定準1級#貸金業務取扱主任者#24時間365日運用プロジェクトにおけるマネージャ業務#複数プロジェクト間の意見調整・提案
6,BU0897124,36,男性,東京都,1250,1500,大学院卒（修士）,京都大学,情報学研究科 ,2010年3月,ビジネス会話レベル,0,"アクチュアリー#証券アナリスト#Excel, Access, VBA#確率・統計#数理ファイナンス#数理モデル#クオンツ#R#Python#C++#数理モデル#LBO#デューデリジェンス#投資信託#債券#証券化#プライシング#ファイナンス#格付#アルゴリズム#クオンツ#確率微分方程式#数値解析#統計学#生命保険#損害保険#モニタリング#与信管理"
7,BU3934223,37,男性,東京都,1000,1250,大学卒,国立清華大学,理学部数学科 ,2008年6月,ビジネス会話レベル,5,Webアプリケーションのサーバーサイド開発経験（C#2年）、プログラミング#自社サービスのリリース、運用、保守経験#データ処理、データマイニング#機械学習、深層学習技術#統計学知識#Pythonスキル#SQL、データベーススキル#CI/CD経験#現状の仕様やユーザーニーズを踏まえた仕様策定力#数学的フレームワークに基づく問題解決力#クライアントのニーズに応えるプレゼンテーション力#英語でのプレゼンテーション能力#マーケティング知識
8,BU1076952,32,男性,東京都,750,1000,大学院卒（修士）,早稲田大学,先進理工学研究科 物理学及応用物理学専攻,2015年3月,ビジネス会話レベル,1,"アルゴリズム実装力（AtCoder rate: 緑）#TOEIC975点（海外在住経験、国際会議プレゼンテーション経験あり）#機械学習のモデリング能力（Kaggleコンペにおいて銀メダル1つ、バンダイナムコ音声ノイズ除去コンペにおいて16位：トップ4%）#E資格 (JDLA Deep Learning for ENGINEER): ディープラーニングに関する技術的な知識#IT業界に関する技術的な知識（C, C++, VB.NET, C#, python, MATLABなどのプログラミング、Linux、シェルスクリプトなど経験あり）#基本情報技術者/応用情報技術者#テスト(単体テスト・結合テスト・ユーザー受け入れテスト)#デバッグ#テクニカルサポート(社内外のQ&Aサポートチームでの勤務実績あり)#トラブルシューティング"
9,BU3371611,29,男性,神奈川県,500,600,大学院卒（修士）,東京大学,大学院 理学研究科,2018年3月,基礎会話レベル,3,Python#SQL#Tableau#GitHub
